Geography,Property Related Crime,Financial Year,Count
NW,Burglary at Residential Premises,2021/2022,11393
NW,Theft of Motor Vehicle or Motorcycle,2021/2022,1652
NW,Theft Out Of or From Motor Vehicle,2021/2022,4554
NW,Stock Theft,2021/2022,2772
NC,Burglary at Non-Residential Premises,2021/2022,2352
NC,Burglary at Residential Premises,2021/2022,5280
NC,Theft of Motor Vehicle or Motorcycle,2021/2022,172
NC,Theft Out Of or From Motor Vehicle,2021/2022,2117
NC,Stock Theft,2021/2022,861
WC,Burglary at Non-Residential Premises,2021/2022,8209
WC,Burglary at Residential Premises,2021/2022,26291
WC,Theft of Motor Vehicle or Motorcycle,2021/2022,4732
WC,Theft Out Of or From Motor Vehicle,2021/2022,21532
WC,Stock Theft,2021/2022,722
ZA,Burglary at Non-Residential Premises,2022/2023,62539
ZA,Burglary at Residential Premises,2022/2023,163455
ZA,Theft of Motor Vehicle or Motorcycle,2022/2023,37426
ZA,Theft Out Of or From Motor Vehicle,2022/2023,87125
ZA,Stock Theft,2022/2023,27145
EC,Burglary at Non-Residential Premises,2022/2023,7687
EC,Burglary at Residential Premises,2022/2023,18907
EC,Theft of Motor Vehicle or Motorcycle,2022/2023,1699
EC,Theft Out Of or From Motor Vehicle,2022/2023,8672
EC,Stock Theft,2022/2023,6101
FS,Burglary at Non-Residential Premises,2022/2023,5007
FS,Burglary at Residential Premises,2022/2023,11657
FS,Theft of Motor Vehicle or Motorcycle,2022/2023,795
FS,Theft Out Of or From Motor Vehicle,2022/2023,4153
FS,Stock Theft,2022/2023,3156
GT,Burglary at Non-Residential Premises,2022/2023,13596
GT,Burglary at Residential Premises,2022/2023,35904
GT,Theft of Motor Vehicle or Motorcycle,2022/2023,19494
GT,Theft Out Of or From Motor Vehicle,2022/2023,23919
GT,Stock Theft,2022/2023,1144
KZN,Burglary at Non-Residential Premises,2022/2023,8869
KZN,Burglary at Residential Premises,2022/2023,26561
KZN,Theft of Motor Vehicle or Motorcycle,2022/2023,6340
KZN,Theft Out Of or From Motor Vehicle,2022/2023,11801
KZN,Stock Theft,2022/2023,6316
LIM,Burglary at Non-Residential Premises,2022/2023,5999
LIM,Burglary at Residential Premises,2022/2023,11763
LIM,Theft of Motor Vehicle or Motorcycle,2022/2023,791
LIM,Theft Out Of or From Motor Vehicle,2022/2023,3412
LIM,Stock Theft,2022/2023,2649
MP,Burglary at Non-Residential Premises,2022/2023,5274
MP,Burglary at Residential Premises,2022/2023,12279
MP,Theft of Motor Vehicle or Motorcycle,2022/2023,1470
MP,Theft Out Of or From Motor Vehicle,2022/2023,4484
MP,Stock Theft,2022/2023,2927
NW,Burglary at Non-Residential Premises,2022/2023,4995
NW,Burglary at Residential Premises,2022/2023,11855
NW,Theft of Motor Vehicle or Motorcycle,2022/2023,1709
NW,Theft Out Of or From Motor Vehicle,2022/2023,4397
NW,Stock Theft,2022/2023,3126
NC,Burglary at Non-Residential Premises,2022/2023,2754
NC,Burglary at Residential Premises,2022/2023,6357
NC,Theft of Motor Vehicle or Motorcycle,2022/2023,164
NC,Theft Out Of or From Motor Vehicle,2022/2023,2227
NC,Stock Theft,2022/2023,1008
WC,Burglary at Non-Residential Premises,2022/2023,8358
WC,Burglary at Residential Premises,2022/2023,28172
WC,Theft of Motor Vehicle or Motorcycle,2022/2023,4964
WC,Theft Out Of or From Motor Vehicle,2022/2023,24060
WC,Stock Theft,2022/2023,718
