Geography,Contact Related Crime,Financial Year,Count
NW,Arson,2013/2014,348
NW,Arson,2014/2015,329
NW,Arson,2015/2016,314
NW,Arson,2016/2017,290
NW,Arson,2017/2018,323
NW,Arson,2018/2019,347
NW,Arson,2019/2020,246
NW,Arson,2020/2021,228
NW,Malicious Damage to Property,2011/2012,6443
NW,Malicious Damage to Property,2012/2013,6299
NW,Malicious Damage to Property,2013/2014,5853
NW,Malicious Damage to Property,2014/2015,5902
NW,Malicious Damage to Property,2015/2016,5762
NW,Malicious Damage to Property,2016/2017,5774
NW,Malicious Damage to Property,2017/2018,5821
NW,Malicious Damage to Property,2018/2019,6285
NW,Malicious Damage to Property,2019/2020,5964
NW,Malicious Damage to Property,2020/2021,5760
NC,Arson,2011/2012,178
NC,Arson,2012/2013,177
NC,Arson,2013/2014,163
NC,Arson,2014/2015,172
NC,Arson,2015/2016,172
NC,Arson,2016/2017,149
NC,Arson,2017/2018,156
NC,Arson,2018/2019,162
NC,Arson,2019/2020,137
NC,Arson,2020/2021,121
NC,Malicious Damage to Property,2011/2012,2791
NC,Malicious Damage to Property,2012/2013,3102
NC,Malicious Damage to Property,2013/2014,3087
NC,Malicious Damage to Property,2014/2015,3209
NC,Malicious Damage to Property,2015/2016,3084
NC,Malicious Damage to Property,2016/2017,2954
NC,Malicious Damage to Property,2017/2018,2927
NC,Malicious Damage to Property,2018/2019,3243
NC,Malicious Damage to Property,2019/2020,3104
NC,Malicious Damage to Property,2020/2021,3034
WC,Arson,2011/2012,663
WC,Arson,2012/2013,691
WC,Arson,2013/2014,649
WC,Arson,2014/2015,782
WC,Arson,2015/2016,757
WC,Arson,2016/2017,781
WC,Arson,2017/2018,762
WC,Arson,2018/2019,842
WC,Arson,2019/2020,749
WC,Arson,2020/2021,674
WC,Malicious Damage to Property,2011/2012,24068
WC,Malicious Damage to Property,2012/2013,24888
WC,Malicious Damage to Property,2013/2014,26458
WC,Malicious Damage to Property,2014/2015,29289
WC,Malicious Damage to Property,2015/2016,29217
WC,Malicious Damage to Property,2016/2017,29216
WC,Malicious Damage to Property,2017/2018,28001
WC,Malicious Damage to Property,2018/2019,28514
WC,Malicious Damage to Property,2019/2020,27088
WC,Malicious Damage to Property,2020/2021,24218
ZA,Arson,2021/2022,4102
ZA,Malicious Damage to Property,2021/2022,113403
EC,Arson,2021/2022,592
EC,Malicious Damage to Property,2021/2022,12574
FS,Arson,2021/2022,171
FS,Malicious Damage to Property,2021/2022,6635
GT,Arson,2021/2022,505
GT,Malicious Damage to Property,2021/2022,28894
KZN,Arson,2021/2022,1048
KZN,Malicious Damage to Property,2021/2022,15464
LIM,Arson,2021/2022,340
LIM,Malicious Damage to Property,2021/2022,7428
MP,Arson,2021/2022,288
MP,Malicious Damage to Property,2021/2022,5984
NW,Arson,2021/2022,268
NW,Malicious Damage to Property,2021/2022,6471
NC,Arson,2021/2022,179
NC,Malicious Damage to Property,2021/2022,3614
WC,Arson,2021/2022,711
WC,Malicious Damage to Property,2021/2022,26339
ZA,Arson,2022/2023,3671
ZA,Malicious Damage to Property,2022/2023,115145
EC,Arson,2022/2023,593
EC,Malicious Damage to Property,2022/2023,12866
FS,Arson,2022/2023,143
FS,Malicious Damage to Property,2022/2023,6980
GT,Arson,2022/2023,452
GT,Malicious Damage to Property,2022/2023,28800
KZN,Arson,2022/2023,692
KZN,Malicious Damage to Property,2022/2023,14057
LIM,Arson,2022/2023,351
LIM,Malicious Damage to Property,2022/2023,7820
MP,Arson,2022/2023,273
MP,Malicious Damage to Property,2022/2023,5751
NW,Arson,2022/2023,255
NW,Malicious Damage to Property,2022/2023,6916
NC,Arson,2022/2023,200
NC,Malicious Damage to Property,2022/2023,4072
WC,Arson,2022/2023,712
WC,Malicious Damage to Property,2022/2023,27883
