Geography,Other Serious Crime,Financial Year,Count
GT,Shoplifting,2020/2021,15347
KZN,All Theft Not Mentioned Elsewhere,2011/2012,52467
KZN,All Theft Not Mentioned Elsewhere,2012/2013,50361
KZN,All Theft Not Mentioned Elsewhere,2013/2014,49846
KZN,All Theft Not Mentioned Elsewhere,2014/2015,47622
KZN,All Theft Not Mentioned Elsewhere,2015/2016,43573
KZN,All Theft Not Mentioned Elsewhere,2016/2017,42577
KZN,All Theft Not Mentioned Elsewhere,2017/2018,39615
KZN,All Theft Not Mentioned Elsewhere,2018/2019,40193
KZN,All Theft Not Mentioned Elsewhere,2019/2020,39647
KZN,All Theft Not Mentioned Elsewhere,2020/2021,32442
KZN,Commercial Crime,2011/2012,13375
KZN,Commercial Crime,2012/2013,14226
KZN,Commercial Crime,2013/2014,12431
KZN,Commercial Crime,2014/2015,11227
KZN,Commercial Crime,2015/2016,11395
KZN,Commercial Crime,2016/2017,12405
KZN,Commercial Crime,2017/2018,12308
KZN,Commercial Crime,2018/2019,14899
KZN,Commercial Crime,2019/2020,14343
KZN,Commercial Crime,2020/2021,13872
KZN,Shoplifting,2011/2012,12399
KZN,Shoplifting,2012/2013,13014
KZN,Shoplifting,2013/2014,13378
KZN,Shoplifting,2014/2015,14118
KZN,Shoplifting,2015/2016,13648
KZN,Shoplifting,2016/2017,12302
KZN,Shoplifting,2017/2018,11620
KZN,Shoplifting,2018/2019,10878
KZN,Shoplifting,2019/2020,10138
KZN,Shoplifting,2020/2021,7631
LIM,All Theft Not Mentioned Elsewhere,2011/2012,19492
LIM,All Theft Not Mentioned Elsewhere,2012/2013,17513
LIM,All Theft Not Mentioned Elsewhere,2013/2014,18288
LIM,All Theft Not Mentioned Elsewhere,2014/2015,19050
LIM,All Theft Not Mentioned Elsewhere,2015/2016,19915
LIM,All Theft Not Mentioned Elsewhere,2016/2017,20758
LIM,All Theft Not Mentioned Elsewhere,2017/2018,17386
LIM,All Theft Not Mentioned Elsewhere,2018/2019,17508
LIM,All Theft Not Mentioned Elsewhere,2019/2020,15709
LIM,All Theft Not Mentioned Elsewhere,2020/2021,13024
LIM,Commercial Crime,2011/2012,3785
LIM,Commercial Crime,2012/2013,4353
LIM,Commercial Crime,2013/2014,4002
LIM,Commercial Crime,2014/2015,3500
LIM,Commercial Crime,2015/2016,3733
LIM,Commercial Crime,2016/2017,4024
LIM,Commercial Crime,2017/2018,3736
LIM,Commercial Crime,2018/2019,4118
LIM,Commercial Crime,2019/2020,4275
LIM,Commercial Crime,2020/2021,4324
LIM,Shoplifting,2011/2012,3509
LIM,Shoplifting,2012/2013,3824
LIM,Shoplifting,2013/2014,3899
LIM,Shoplifting,2014/2015,3909
LIM,Shoplifting,2015/2016,3799
LIM,Shoplifting,2016/2017,3742
LIM,Shoplifting,2017/2018,3259
LIM,Shoplifting,2018/2019,3455
LIM,Shoplifting,2019/2020,3796
LIM,Shoplifting,2020/2021,2784
MP,All Theft Not Mentioned Elsewhere,2011/2012,22291
MP,All Theft Not Mentioned Elsewhere,2012/2013,21373
MP,All Theft Not Mentioned Elsewhere,2013/2014,19581
MP,All Theft Not Mentioned Elsewhere,2014/2015,18894
MP,All Theft Not Mentioned Elsewhere,2015/2016,18416
MP,All Theft Not Mentioned Elsewhere,2016/2017,18457
MP,All Theft Not Mentioned Elsewhere,2017/2018,17024
MP,All Theft Not Mentioned Elsewhere,2018/2019,16858
MP,All Theft Not Mentioned Elsewhere,2019/2020,15884
MP,All Theft Not Mentioned Elsewhere,2020/2021,13447
MP,Commercial Crime,2011/2012,5408
MP,Commercial Crime,2012/2013,6509
MP,Commercial Crime,2013/2014,5063
MP,Commercial Crime,2014/2015,4494
MP,Commercial Crime,2015/2016,4733
MP,Commercial Crime,2016/2017,5149
MP,Commercial Crime,2017/2018,5178
MP,Commercial Crime,2018/2019,5188
MP,Commercial Crime,2019/2020,5104
MP,Commercial Crime,2020/2021,5126
MP,Shoplifting,2011/2012,3194
MP,Shoplifting,2012/2013,3248
MP,Shoplifting,2013/2014,3151
MP,Shoplifting,2014/2015,3494
MP,Shoplifting,2015/2016,3397
MP,Shoplifting,2016/2017,3454
